Material;Qtd.  UM registro; Montante em MI ;Departamento;Mês
400011;-1;-104,73;DTM;1
400072;-1;-4.504,31;DTE;1
400111;-1;-3,49;DTM;1
400111;-1;-3,49;DTM;1
400130;-45;-134,29;DIT;1
400140;-28;-202,17;DTM;1
400140;-12;-86,64;DTM;1
400140;-12;-86,64;DTM;1
400140;-4;-28,88;DTM;1
400140;-4;-28,88;DTM;1
400142;-6;-425,33;DIT;1
400142;-3;-212,66;DTM;1
400142;-30;-2.126,65;DIT;1
400142;-3;-212,66;DTE;1
400142;-3;-212,66;DTE;1
400142;-3;-212,66;DTM;1
400142;-3;-212,66;DTE;1
400164;-6;-142,91;DTM;1
400164;-30;-714,54;DTM;1
400193;-3;-88,58;DTM;1
400193;-3;-88,58;DTE;1
400193;-3;-88,58;DTE;1
400193;-3;-88,58;DTE;1
400193;-3;-88,58;DTE;1
400224;-3;-4.848,88;DTE;1
400243;-1;-32.104,65;DTM;1
400288;-1;-24.623,76;DTM;1
400288;-1;-24.623,76;DTM;1
400375;-30;-263,36;DIT;1
400434;-10;-275,03;DTM;1
400434;-30;-825,08;DIT;1
400442;-58;-283,35;DTE;1
400460;-30;-740,54;DIT;1
400460;-17;-419,64;DIT;1
400478;-1;-9,32;DTE;1
400478;-1;-9,33;DTE;1
400484;-4;-64,06;DTM;1
400484;-2;-32,03;DTM;1
400484;-4;-64,06;DTE;1
400487;-150;-8.589,15;DTM;1
400487;-196;-11.223,16;DTM;1
400487;-300;-17.178,30;DTM;1
400487;-120;-6.871,32;DTM;1
400487;-24;-1.374,26;DTM;1
400487;-146;-8.360,11;DTM;1
400505;-3;-35,54;DTM;1
400506;-5;-52,82;DTE;1
400512;-60;-978,2;DIT;1
400543;-6;-71,39;DTM;1
400594;-10;-935,98;DTM;1
400594;-7;-655,18;DTM;1
400594;-7;-655,18;DTE;1
400594;-10;-935,98;DTM;1
400594;-7;-655,18;DTM;1
400594;-3;-280,79;DTM;1
400655;-8;-402,2;DTM;1
400655;-4;-201,1;DTM;1
400665;-6;-161,55;DTE;1
400665;-6;-161,55;DTE;1
400665;-3;-80,78;DTE;1
400673;-18;-24,98;DTM;1
400673;-14;-19,43;DTM;1
400673;-2;-2,78;DTM;1
400673;-15;-20,82;DTM;1
400673;-11;-15,27;DTM;1
400673;-14;-19,43;DTM;1
400673;-6;-8,33;DTM;1
400683;-2;-3,88;DTE;1
400708;-27;-161,37;DTM;1
400730;-123;-2.322,11;DTM;1
400758;-3;-1.197,50;DIT;1
400758;-66;-26.344,89;DIT;1
400758;-3;-1.197,49;DTM;1
400758;-3;-1.197,50;DTM;1
400790;-8;-143,19;DTM;1
400790;-10;-178,98;DTM;1
400790;-5;-89,49;DTE;1
400805;-3;-16,51;DTM;1
400805;-3;-16,51;DTE;1
400806;-3;-21,08;DTE;1
400809;-6;-9,76;DTE;1
400813;-5;-8,74;DTE;1
400813;-15;-26,21;DTM;1
400813;-10;-17,47;DTM;1
400813;-3;-5,24;DTM;1
400827;-13;-36,52;DTE;1
400827;-9;-25,28;DTE;1
400827;-13;-36,52;DTE;1
400827;-26;-73,04;DTE;1
400827;-10;-28,09;DTE;1
400855;-12;-229,56;DTM;1
400908;-15;-1.334,55;DIT;1
400910;-12;-270,92;DTM;1
400942;-4;-18,74;DTM;1
400942;-40;-187,35;DTE;1
400942;-14;-65,57;DTM;1
400955;-2;-8,42;DTM;1
400955;-2;-8,42;DTM;1
400955;-2;-8,42;DTM;1
400955;-4;-16,84;DTM;1
400955;-2;-8,42;DTE;1
401036;-13;-313,51;DTM;1
401036;-12;-289,39;DTM;1
401036;-220;-5.305,48;DTE;1
401036;-47;-1.133,45;DTM;1
401036;-86;-2.073,96;DTM;1
401056;-3;-17,02;DTE;1
401079;-6;-111,51;DTE;1
401079;-3;-55,75;DTE;1
401108;-3;-9,07;DTM;1
401116;-80;-2.970,96;DIT;1
401116;-3;-111,41;DTE;1
401116;-42;-1.559,75;DIT;1
401116;-3;-111,41;DTE;1
401116;-6;-222,82;DTE;1
401116;-30;-1.114,11;DTM;1
401117;-4;-49,05;DTE;1
401117;-4;-49,05;DTE;1
401117;-4;-49,05;DTE;1
401117;-4;-49,05;DTM;1
401117;-4;-49,05;DTM;1
401117;-6;-73,58;DTM;1
401117;-4;-49,05;DTM;1
401117;-4;-49,05;DTM;1
401117;-4;-49,05;DTM;1
401127;-1;-2.057,18;DTE;1
401127;-1;-2.057,18;DTE;1
401127;-1;-2.057,18;DTE;1
401127;-1;-2.057,44;DTM;1
401127;-2;-4.114,88;DTM;1
401131;-2;-25,2;DTE;1
401131;-1;-12,6;DTE;1
401131;-1;-12,6;DTE;1
401131;-1;-12,6;DTE;1
401155;-3;-43,89;DTM;1
401155;-2;-29,26;DTM;1
401234;-45;-291,02;DIT;1
401403;-30;-300,87;DIT;1
401438;-12;-135,62;DIT;1
401438;-1;-11,3;DTM;1
401451;-3;-70,95;DTM;1
401471;-6;-171,51;DTM;1
401471;-3;-85,75;DTM;1
401471;-3;-85,75;DTE;1
401489;-3;-17,44;DTE;1
401531;-10;-86,99;DTM;1
401531;-6;-52,19;DTM;1
401546;-6;-42,61;DTM;1
401566;-3;-71,81;DTE;1
401566;-3;-71,81;DTM;1
401566;-3;-71,81;DTM;1
401566;-1;-23,94;DTM;1
401574;-2;-32,11;DTE;1
401576;-2;-46,11;DTM;1
401576;-10;-230,53;DTE;1
401576;-4;-92,21;DTM;1
401620;-45;-131,02;DIT;1
401657;-1;-162,24;DTE;1
401683;-1;-187,8;DTM;1
401683;-1;-187,8;DIT;1
401706;-4;-57,76;DTM;1
401706;-4;-57,76;DTM;1
401753;-9;-79,66;DTM;1
